ItemName,Price,BasePrice,Difference,ProfitMargin,AverageVolume,AverageDailyProfitPotential,PercentSoldInventory
Radiant Hemorphite,900,340,560, 62.22222,2793, 1564080, 0
Pure Jaspet,0,360,-360, -Infinity,6153, -2215080, 0
Pristine Jaspet,0,414.95,-414.95, -Infinity,7450, -3091378, 0
Luminous Kernite,192,500,-308, -160.4167,14657, -4514356, 0
Fiery Kernite,200,150,50, 25,13920, 696000, 0
Azure Plagioclase,47,56,-9, -19.14894,5458145, -49123300, 0
Rich Plagioclase,55.99,56.5,-0.5099983, -0.9108739,3450190, -1759591, 3.9066693872824701842430251900
Solid Pyroxeres,0,44,-44, -Infinity,18909, -831996, 0
Viscous Pyroxeres,0,45.5,-45.5, -Infinity,10113, -460141.5, 0
Condensed Scordite,9.88,17.5,-7.62, -77.1255,1500909, -11436930, 0.0003229793336290388565670300
Massive Scordite,13.7,16.9,-3.2, -23.35766,994991, -3183971, 0
Bright Spodumain,0,0,0, NaN,1690, 0, 0
Gleaming Spodumain,0,0,0, NaN,389, 0, 0
Concentrated Veldspar,11,14.85,-3.85, -35,8164769, -31434360, 13.169131520451387828713168990
Dense Veldspar,13,15,-2, -15.38461,5011854, -10023710, 0.1407622818958049746318524900
Covetor,1.6E+07,1.9E+07,-3000000, -18.75,7, -21000000, 20.560747663551401869158878500
Covetor Blueprint,0,2.164899E+09,-2.164899E+09, -Infinity,1, -2164899000, 0
Retriever,1.799999E+07,1.597998E+07,2020008, 11.22227,10, 20200080, 32.352941176470588235294117650
Retriever Blueprint,0,1.855899E+09,-1.855899E+09, -Infinity,1, -1855899000, 0
Procurer,1.2E+07,1.315547E+07,-1155473, -9.628942,11, -12710200, 31.558935361216730038022813690
Procurer Blueprint,0,1.5599E+09,-1.5599E+09, -Infinity,1, -1559900000, 0
Strip Miner I,1050000,1099995,-49994.88, -4.761416,42, -2099785, 37.410071942446043165467625900
Strip Miner I Blueprint,1.613008E+07,1.613008E+07,0, 0,1, 0, 0
Republic Fleet Rapid Light Missile Launcher,0,0,0, NaN,0, 0, 0
Republic Fleet Cruise Missile Launcher,0,7.5E+07,-7.5E+07, -Infinity,3, -225000000, 0
Republic Fleet Heavy Missile Launcher,4.5E+07,7.9E+07,-3.4E+07, -75.55556,0, 0, 0
Republic Fleet Rocket Launcher,7000000,2.499999E+07,-1.799999E+07, -257.1428,1, -17999990, 0
Republic Fleet Torpedo Launcher,0,4.5E+07,-4.5E+07, -Infinity,0, 0, 0
Republic Fleet Light Missile Launcher,0,0,0, NaN,1, 0, 0
Republic Fleet Large Armor Repairer,0,1.42999E+08,-1.42999E+08, -Infinity,1, -142999000, 0
Republic Fleet Medium Armor Repairer,0,0,0, NaN,0, 0, 0
Republic Fleet Small Armor Repairer,5E+07,3.9E+07,1.1E+07, 22,1, 11000000, 0
Caldari Navy Kinetic Deflection Field,5E+07,1.4544E+07,3.5456E+07, 70.91199,1, 35456000, 0
Caldari Navy Explosive Deflection Field,0,2397882,-2397882, -Infinity,1, -2397882, 0
Caldari Navy Thermal Dissipation Field,0,1.38E+07,-1.38E+07, -Infinity,1, -13800000, 0
Caldari Navy Adaptive Invulnerability Field,5.49E+08,4.125E+08,1.365E+08, 24.86339,1, 136500000, 0
Caldari Navy EM Ward Field,0,3.1998E+07,-3.1998E+07, -Infinity,1, -31998000, 0
Caldari Navy Stasis Webifier,6.6E+07,5.440098E+07,1.159902E+07, 17.57428,2, 23198050, 32.142857142857142857142857140
Ammatar Navy Armor EM Hardener,0,4.34E+08,-4.34E+08, -Infinity,0, 0, 0
Ammatar Navy Armor Explosive Hardener,0,0,0, NaN,0, 0, 0
Ammatar Navy Armor Kinetic Hardener,0,0,0, NaN,0, 0, 0
Ammatar Navy Armor Thermal Hardener,0,3E+08,-3E+08, -Infinity,1, -300000000, 0
Ammatar Navy Capacitor Power Relay,0,0,0, NaN,0, 0, 0
Ammatar Navy Kinetic Plating,0,0,0, NaN,0, 0, 0
Ammatar Navy Adaptive Nano Plating,0,0,0, NaN,0, 0, 0
Ammatar Navy Explosive Plating,0,0,0, NaN,0, 0, 0
Ammatar Navy EM Plating,0,0,0, NaN,0, 0, 0
Federation Navy Sensor Booster,2.5E+08,1.84E+08,6.6E+07, 26.4,1, 66000000, 0
Ammatar Navy Reactor Control Unit,0,0,0, NaN,0, 0, 0
Ammatar Navy Power Diagnostic System,0,0,0, NaN,0, 0, 0
Imperial Navy Cap Recharger,3.89E+07,2.15E+07,1.74E+07, 44.73008,1, 17400000, 21.428571428571428571428571430
Imperial Navy Capacitor Power Relay,8.9E+07,3.877899E+07,5.022101E+07, 56.4281,1, 50221010, 0
Ammatar Navy Energized Adaptive Nano Membrane,0,1E+08,-1E+08, -Infinity,0, 0, 0
Ammatar Navy Energized Kinetic Membrane,0,0,0, NaN,0, 0, 0
Ammatar Navy Energized Explosive Membrane,0,0,0, NaN,0, 0, 0
Ammatar Navy Energized EM Membrane,0,0,0, NaN,0, 0, 0
Ammatar Navy Energized Thermal Membrane,0,0,0, NaN,0, 0, 0
Imperial Navy Large Armor Repairer,1.59E+08,1.5E+08,9000000, 5.660378,1, 9000000, 0
Imperial Navy Medium Armor Repairer,0,2.61E+08,-2.61E+08, -Infinity,0, 0, 0
Imperial Navy Small Armor Repairer,3E+07,4.4999E+07,-1.4999E+07, -49.99665,1, -14999000, 0
Federation Navy Adaptive Nano Plating,0,4599928,-4599928, -Infinity,1, -4599928, 0
Federation Navy Kinetic Plating,0,996998.7,-996998.7, -Infinity,0, 0, 0
Federation Navy Explosive Plating,0,9997999,-9997999, -Infinity,0, 0, 0
Federation Navy EM Plating,0,2892499,-2892499, -Infinity,0, 0, 0
Federation Navy Thermal Plating,2.5E+07,944444.4,2.405556E+07, 96.22222,1, 24055560, 0
Federation Navy Stasis Webifier,9.65E+07,8.1E+07,1.55E+07, 16.06218,4, 62000000, 20.833333333333333333333333330
Caldari Navy Hookbill,1.75E+07,1.74E+07,99998, 0.5714172,2, 199996, 22.727272727272727272727272730
Corporate Hangar Array,1.29E+07,9099990,3800010, 29.45744,1, 3800010, 66.666666666666666666666666670
Jenmei's Tag,0,524998.9,-524998.9, -Infinity,1, -524998.9, 0
Elena Gazky's DNA,50000.01,20000,30000.01, 60.00001,5, 150000.1, 0
Imai Kenon's Tag,0,9.9E+09,-9.9E+09, -Infinity,0, 0, 0
Caracal Navy Issue,8.0999E+07,8E+07,999000, 1.233349,1, 999000, 21.87500
Raven Navy Issue,6.09E+08,5.239748E+08,8.502518E+07, 13.96144,1, 85025180, 0
Mordur's DNA,0,0,0, NaN,0, 0, 0
Raelek's Tag,0,0,0, NaN,0, 0, 0
Caldari AZ-1 Nexus Chip,0,5453000,-5453000, -Infinity,1, -5453000, 0
Caldari CU-1 Nexus Chip,0,5850000,-5850000, -Infinity,1, -5850000, 0
Caldari BY-1 Nexus Chip,0,552999.8,-552999.8, -Infinity,1, -552999.8, 0
Antimatter Charge XL,2000,1400,600, 30,4043, 2425800, 0
Antimatter Charge XL Blueprint,1E+07,1E+07,0, 0,1, 0, 0
Iridium Charge XL,497.75,549.86,-52.10999, -10.46911,5000, -260549.9, 0
Iridium Charge XL Blueprint,4000000,4000000,0, 0,2, 0, 0
Iron Charge XL,297.6,140,157.6, 52.95699,3335, 525596, 30.981067125645438898450946640
Iron Charge XL Blueprint,2000000,2000000,0, 0,1, 0, 0
Lead Charge XL,498.82,399,99.82001, 20.01123,2333, 232880.1, 11.836420666390483517784222050
Lead Charge XL Blueprint,5000000,5000000,0, 0,1, 0, 0
Plutonium Charge XL,1800,1299.43,500.5699, 27.80944,500, 250285, 5.5279159756771697070204532900
Plutonium Charge XL Blueprint,8000000,8000000,0, 0,2, 0, 0
Thorium Charge XL,2775.75,1000,1775.75, 63.9737,0, 0, 0
Thorium Charge XL Blueprint,6000000,6000000,0, 0,2, 0, 0
Tungsten Charge XL,299.99,599.94,-299.95, -99.98667,2349, -704582.6, 0
Tungsten Charge XL Blueprint,3000000,3000000,0, 0,2, 0, 0
Uranium Charge XL,697.75,1566.6,-868.85, -124.5217,1500, -1303275, 0
Uranium Charge XL Blueprint,7000000,7000000,0, 0,2, 0, 0
Carbonized Lead XL,0,550,-550, -Infinity,6383, -3510650, 0
Carbonized Lead XL Blueprint,2000000,3598986,-1598986, -79.9493,2, -3197972, 0
Depleted Uranium XL,0,1375.96,-1375.96, -Infinity,13578, -18682780, 0
Depleted Uranium XL Blueprint,5000000,9689567,-4689567, -93.79134,2, -9379134, 0
EMP XL,3999.96,1351,2648.96, 66.22466,6867, 18190410, 29.47200
EMP XL Blueprint,1E+07,1.13868E+07,-1386800, -13.868,2, -2773600, 0
Fusion XL,0,1994.51,-1994.51, -Infinity,5250, -10471180, 0
Fusion XL Blueprint,7000000,9499851,-2499851, -35.71216,2, -4999702, 0
Nuclear XL,0,847.5,-847.5, -Infinity,19199, -16271150, 0
Nuclear XL Blueprint,3000000,5899819,-2899819, -96.66064,2, -5799638, 0
Phased Plasma XL,0,1599.99,-1599.99, -Infinity,1417, -2267186, 0
Phased Plasma XL Blueprint,8000000,1.399924E+07,-5999236, -74.99045,2, -11998470, 0
Proton XL,0,997.41,-997.41, -Infinity,1750, -1745468, 0
Proton XL Blueprint,4000000,4499567,-499567, -12.48917,2, -999134, 0
Titanium Sabot XL,0,1986.94,-1986.94, -Infinity,8834, -17552630, 0
Titanium Sabot XL Blueprint,6000000,6100000,-100000, -1.666667,2, -200000, 0
Gamma XL,0,299999.9,-299999.9, -Infinity,6, -1800000, 0
Gamma XL Blueprint,0,3.625881E+07,-3.625881E+07, -Infinity,1, -36258810, 0
Infrared XL,0,200000,-200000, -Infinity,6, -1200000, 0
Infrared XL Blueprint,0,1.499979E+07,-1.499979E+07, -Infinity,0, 0, 0
Microwave XL,0,270000,-270000, -Infinity,6, -1620000, 0
Microwave XL Blueprint,0,2.249698E+07,-2.249698E+07, -Infinity,0, 0, 0
Multifrequency XL,0,449999.9,-449999.9, -Infinity,7, -3149999, 0
Multifrequency XL Blueprint,0,8E+07,-8E+07, -Infinity,1, -80000000, 0
Radio XL,0,344444,-344444, -Infinity,8, -2755552, 0
Radio XL Blueprint,0,4E+07,-4E+07, -Infinity,0, 0, 0
Standard XL,0,166666,-166666, -Infinity,9, -1499994, 0
Standard XL Blueprint,0,1.799956E+07,-1.799956E+07, -Infinity,0, 0, 0
Ultraviolet XL,0,200000,-200000, -Infinity,9, -1800000, 0
Ultraviolet XL Blueprint,0,1.939903E+07,-1.939903E+07, -Infinity,0, 0, 0
Xray XL,0,290248,-290248, -Infinity,3, -870743.9, 0
Xray XL Blueprint,0,2.69942E+07,-2.69942E+07, -Infinity,1, -26994200, 0
Imperial Navy Slicer,2.8E+07,2.1E+07,7000000, 25,2, 14000000, 0
Omen Navy Issue,9.4E+07,8.309001E+07,1.090999E+07, 11.60637,1, 10909990, 0
Stabber Fleet Issue,4.774989E+07,4.518E+07,2569888, 5.381977,2, 5139776, 0
Gila,2.03E+08,1.82E+08,2.1E+07, 10.34483,6, 126000000, 25.925925925925925925925925930
Phantasm,1.04E+08,8.949998E+07,1.450001E+07, 13.94232,1, 14500010, 15.00
Cynabal,1.388889E+08,1.407E+08,-1811120, -1.304006,3, -5433360, 11.320754716981132075471698110
Vigilant,2.079808E+08,1.8E+08,2.798078E+07, 13.45354,1, 27980780, 0
Apocalypse Navy Issue,6.228889E+08,4.58881E+08,1.640079E+08, 26.3302,1, 164007900, 0
Megathron Navy Issue,4E+08,4.20628E+08,-2.062797E+07, -5.156992,1, -20627970, 0
Tempest Fleet Issue,3.59999E+08,3.04E+08,5.599901E+07, 15.55532,1, 55999010, 0
Nightmare,4.900004E+08,4.85E+08,5000352, 1.020479,1, 5000352, 0
Machariel,3.7E+08,3.960078E+08,-2.600781E+07, -7.029137,2, -52015620, 9.523809523809523809523809520
Vindicator,4.248789E+08,4.198869E+08,4991968, 1.174916,1, 4991968, 11.111111111111111111111111110
Uleen Bloodsworn's Tag,0,560000,-560000, -Infinity,0, 0, 0
Activists,0,0,0, NaN,0, 0, 0
Pro-Trade Pamphlets,0,0,0, NaN,0, 0, 0
Virgin Forest Pulp,0,4.4E+09,-4.4E+09, -Infinity,0, 0, 0
Exotic Dancers, Female,40007.77,120000,-79992.2, -199.9417,34, -2719735, 0
Kameiras,0,3000000,-3000000, -Infinity,0, 0, 0
Fluxed Condensates,60946,59948.38,997.6211, 1.636894,475, 473870, 0
Large AutoCannon Battery,2.02E+07,6999988,1.320001E+07, 65.3466,4, 52800050, 10.0
Medium AutoCannon Battery,8444444,2249979,6194465, 73.35551,4, 24777860, 55.172413793103448275862068970
Small AutoCannon Battery,2100000,1130472,969528.3, 46.16801,3, 2908585, 3.5714285714285714285714285700
XL Torpedo Battery,1E+07,1.01804E+07,-180400, -1.804,1, -180400, 11.111111111111111111111111110
Freedom Fighters,0,24998.69,-24998.69, -Infinity,5, -124993.4, 0
Amarr TIL-1 Nexus Chip,0,2899888,-2899888, -Infinity,0, 0, 0
Amarr KIU-1 Nexus Chip,0,2399999,-2399999, -Infinity,5, -12000000, 0
Amarr MIY-1 Nexus Chip,0,488000,-488000, -Infinity,1, -488000, 0
Elite Slaves,0,4499500,-4499500, -Infinity,10, -44995000, 0
Republic Fleet Firetail,9000000,9050000,-50000, -0.5555556,9, -450000, 4.395604395604395604395604400
Minmatar UUC Nexus Chip,8300000,5000000,3300000, 39.75904,2, 6600000, 0
Minmatar UUA Nexus Chip,1975000,1090700,884300, 44.77468,63, 55710900, 4.2145593869731800766283524900
Minmatar UUB Nexus Chip,3999261,7290000,-3290739, -82.28367,11, -36198130, 17.647058823529411764705882350
Genom Tara's Insignia,0,1E+08,-1E+08, -Infinity,0, 0, 0
Federation Navy Armor EM Hardener,0,7950282,-7950282, -Infinity,0, 0, 0
Federation Navy Armor Explosive Hardener,0,2.5E+07,-2.5E+07, -Infinity,1, -25000000, 0
Federation Navy Armor Kinetic Hardener,0,9509985,-9509985, -Infinity,0, 0, 0
Federation Navy Armor Thermal Hardener,0,2E+07,-2E+07, -Infinity,0, 0, 0
Zor's DNA,1,30000,-29999, -2999900,2, -59998, 3.1007751937984496124031007800
Federation Navy Comet,1.688999E+07,1.445E+07,2439993, 14.44639,3, 7319979, 21.276595744680851063829787230
Vexor Navy Issue,6.99999E+07,6.88E+07,1199896, 1.71414,7, 8399272, 14.754098360655737704918032790
Lazarus's Tag,0,0,0, NaN,0, 0, 0
Gallente Gamma Nexus Chip,999999,1549000,-549001, -54.90015,2, -1098002, 0
Gallente Beta Nexus Chip,0,3939985,-3939985, -Infinity,1, -3939985, 0
Gallente Alpha Nexus Chip,7000000,4999998,2000002, 28.57146,1, 2000002, 0
Faramon's Tag,0,0,0, NaN,0, 0, 0
Mjolnir XL Torpedo,3500,3399.5,100.5, 2.871428,2199, 220999.5, 0
Mjolnir XL Torpedo Blueprint,1E+08,1E+08,0, 0,1, 0, 0
Scourge XL Torpedo,1950.99,1500,450.99, 23.11596,3667, 1653780, 8.928571428571428571428571430
Scourge XL Torpedo Blueprint,8E+07,8E+07,0, 0,1, 0, 0
Inferno XL Torpedo,0,3999.65,-3999.65, -Infinity,6, -23997.9, 0
Inferno XL Torpedo Blueprint,9E+07,9E+07,0, 0,1, 0, 0
Nova XL Torpedo,3200,4299.61,-1099.61, -34.36281,0, 0, 0
Nova XL Torpedo Blueprint,7E+07,7E+07,0, 0,1, 0, 0
Iridescent Gneiss,0,1999.9,-1999.9, -Infinity,2426, -4851758, 0
Prismatic Gneiss,900,2299,-1399, -155.4444,884, -1236716, 0
Silvery Omber,35,45.5,-10.5, -30,257300, -2701650, 0
Golden Omber,37.3,40.6,-3.299999, -8.847183,196644, -648925.1, 0.4227507546100969790231075600
Magma Mercoxit,120000,99999.99,20000.01, 16.66667,206, 4120002, 0
Vitreous Mercoxit,191037.4,145000,46037.44, 24.09865,452, 20808920, 0
Inherent Implants 'Noble' Remote Armor Repair Systems RA-703,4000000,3499000,501000, 12.525,1, 501000, 43.396226415094339622641509430
Oxygen Isotopes,900,849.98,50.02002, 5.55778,385696, 19292520, 14.434281146228996526690180270
Nitrogen Isotopes,749.14,572.18,176.96, 23.62176,228325, 40404400, 21.502529646443321903677385920
Hydrogen Isotopes,600,649.85,-49.84998, -8.30833,2807198, -139938800, 25.664184919867838885758837920
High-Tech Data Chip,180000,200000,-20000, -11.11111,54, -1080000, 0
High-Tech Scanner,356481.8,400000,-43518.22, -12.2077,32, -1392583, 0
High-Tech Manufacturing Tools,824999.9,874089,-49089.06, -5.95019,39, -1914474, 0
High-Tech Small Arms,14000,7671.36,6328.64, 45.20457,30, 189859.2, 1.3157894736842105263157894700
High-Tech Transmitters,99999.99,106891,-6891, -6.891001,77, -530607, 6.9427890345649582836710369500
Modulated Strip Miner II,2500000,2979988,-479988.3, -19.19953,26, -12479690, 28.131212723658051689860834990
Rattlesnake,4.5E+08,4.12986E+08,3.701402E+07, 8.225337,2, 74028030, 0
Bhaalgorn,2.46E+08,2.48992E+08,-2991984, -1.216254,1, -2991984, 0
Ashimmu,7.1E+07,6.2E+07,9000000, 12.67606,1, 9000000, 16.129032258064516129032258060
Succubus,7.887986E+07,6.4E+07,1.487986E+07, 18.86395,1, 14879860, 18.7500
Cruor,9.999999E+07,4.5E+07,5.499999E+07, 55,1, 54999990, 0
Daredevil,6.9E+07,7.89846E+07,-9984600, -14.47044,2, -19969200, 19.354838709677419354838709680
Worm,7E+07,5.799989E+07,1.200011E+07, 17.14301,3, 36000320, 12.500
Dramiel,5E+07,4.5999E+07,4001000, 8.002,2, 8002000, 34.090909090909090909090909090
Core Probe Launcher I,30000,9973.99,20026.01, 66.75336,253, 5066580, 23.087768769827282340500528730
Core Probe Launcher I Blueprint,60000,60000,0, 0,2, 0, 0.0119839415183653903768949600
Mining Barge,600000,750000,-150000, -25,9, -1350000, 0
Vanadium Hafnite,15832,15826.91,5.089844, 0.03214909,28390, 144500.7, 0
Prometium,60000,57000,3000, 5,2550, 7650000, 0
Thick Blue Ice,350000,479998,-129998, -37.14228,93, -12089810, 0
Pristine White Glaze,0,499998.9,-499998.9, -Infinity,7, -3499992, 0
Smooth Glacial Mass,0,290000.3,-290000.3, -Infinity,5, -1450001, 0
Enriched Clear Icicle,0,0,0, NaN,0, 0, 0
Coupling Array,0,2500000,-2500000, -Infinity,2, -5000000, 0
Ammatar Navy Colonel Insignia I,0,0,0, NaN,29, 0, 0
Ice Processing,500000,420000,80000, 16,3, 240000, 0
Freed Slaves,0,3324.97,-3324.97, -Infinity,544, -1808784, 0
Arkonor Mining Crystal I,119000,71399.86,47600.14, 40.00012,12, 571201.7, 11.921458625525946704067321180
Arkonor Mining Crystal I Blueprint,800000,800000,0, 0,1, 0, 0
Bistot Mining Crystal I,95000,66969,28031, 29.50632,14, 392434, 14.120370370370370370370370370
Bistot Mining Crystal I Blueprint,750000,750000,0, 0,1, 0, 0
Crokite Mining Crystal I,51175.62,55555.55,-4379.93, -8.558625,13, -56939.09, 6.1204343534057255676209279400
Crokite Mining Crystal I Blueprint,700000,700000,0, 0,1, 0, 0
Dark Ochre Mining Crystal I,176971.5,57554.81,119416.7, 67.47793,7, 835917, 25.111111111111111111111111110
Dark Ochre Mining Crystal I Blueprint,600000,600000,0, 0,1, 0, 0
Gneiss Mining Crystal I,120120.7,89999.85,30120.84, 25.07548,11, 331329.2, 29.835390946502057613168724280
Gneiss Mining Crystal I Blueprint,550000,550000,0, 0,1, 0, 0
Hedbergite Mining Crystal I,110000.7,40998.89,69001.8, 62.72852,9, 621016.2, 17.287234042553191489361702130
Hedbergite Mining Crystal I Blueprint,500000,500000,0, 0,1, 0, 0
Hemorphite Mining Crystal I,90000.69,43440,46560.69, 51.7337,11, 512167.6, 31.055900621118012422360248450
Hemorphite Mining Crystal I Blueprint,450000,450000,0, 0,1, 0, 0
Jaspet Mining Crystal I,82188.22,34999.99,47188.23, 57.41484,12, 566258.8, 2.7932960893854748603351955300
Jaspet Mining Crystal I Blueprint,400000,400000,0, 0,1, 0, 0
Kernite Mining Crystal I,41500.69,45999.92,-4499.23, -10.84134,11, -49491.54, 9.898477157360406091370558380
Kernite Mining Crystal I Blueprint,350000,350000,0, 0,1, 0, 0
Mercoxit Mining Crystal I,250000,222222,27778, 11.1112,6, 166668, 26.170212765957446808510638300
Mercoxit Mining Crystal I Blueprint,1000000,1000000,0, 0,1, 0, 0
Omber Mining Crystal I,55000,30766,24234, 44.06182,22, 533148, 14.275517487508922198429693080
Omber Mining Crystal I Blueprint,300000,300000,0, 0,1, 0, 0
Plagioclase Mining Crystal I,30000,26274.99,3725.01, 12.4167,38, 141550.4, 30.049261083743842364532019700
Plagioclase Mining Crystal I Blueprint,250000,250000,0, 0,1, 0, 0
Pyroxeres Mining Crystal I,18000,22498.56,-4498.561, -24.992,16, -71976.97, 10.873605947955390334572490710
Pyroxeres Mining Crystal I Blueprint,200000,200000,0, 0,1, 0, 0
Scordite Mining Crystal I,13203.94,9889.97,3313.971, 25.09835,19, 62965.45, 3.1636863823933975240715268200
Scordite Mining Crystal I Blueprint,150000,150000,0, 0,1, 0, 0
Spodumain Mining Crystal I,45000,105800,-60799.97, -135.111,11, -668799.6, 28.435114503816793893129770990
Spodumain Mining Crystal I Blueprint,650000,650000,0, 0,1, 0, 0
Veldspar Mining Crystal I,6000,5600,400, 6.666667,37, 14800, 19.715514389679126695335759180
Veldspar Mining Crystal I Blueprint,100000,100000,0, 0,1, 0, 0
Modulated Deep Core Miner II,1200000,1285998,-85997.88, -7.16649,4, -343991.5, 12.290502793296089385474860340
Tycoon,1.25E+08,1.25E+08,0, 0,1, 0, 0
Arkonor Mining Crystal II,400000,690477.9,-290477.9, -72.61948,15, -4357169, 2.808988764044943820224719100
Bistot Mining Crystal II,300000,393887.7,-93887.72, -31.29591,11, -1032765, 25.235404896421845574387947270
Crokite Mining Crystal II,625000,398499.7,226500.3, 36.24004,10, 2265003, 5.2800
Dark Ochre Mining Crystal II,398000,283991.9,114008.1, 28.64526,11, 1254089, 2.5862068965517241379310344800
Gneiss Mining Crystal II,385000.1,387992.4,-2992.281, -0.7772157,12, -35907.38, 2.5423728813559322033898305100
Hedbergite Mining Crystal II,430000,284199.7,145800.3, 33.90705,9, 1312203, 27.745664739884393063583815030
Hemorphite Mining Crystal II,538500,302999.9,235500.1, 43.73261,11, 2590502, 27.211796246648793565683646110
Jaspet Mining Crystal II,280000,184387.7,95612.27, 34.14724,12, 1147347, 29.103448275862068965517241380
Kernite Mining Crystal II,250000,197799,52201, 20.8804,12, 626412, 11.544011544011544011544011540
Mercoxit Mining Crystal II,800000,959296.7,-159296.7, -19.91209,11, -1752264, 18.281535648994515539305301650
Omber Mining Crystal II,100000,118400,-18399.99, -18.39999,26, -478399.8, 19.626168224299065420560747660
Plagioclase Mining Crystal II,238000,212000,25999.98, 10.92436,69, 1793999, 57.170923379174852652259332020
Pyroxeres Mining Crystal II,100000,141999,-41998.98, -41.99899,18, -755981.8, 2.9154518950437317784256559800
Scordite Mining Crystal II,100000,125000,-24999.97, -24.99997,37, -924998.9, 18.491484184914841849148418490
Veldspar Mining Crystal II,100000,173999.5,-73999.5, -73.9995,46, -3403977, 42.357642357642357642357642360
Spodumain Mining Crystal II,480000,597394.9,-117394.9, -24.45728,14, -1643529, 11.065573770491803278688524590
Quest Survey Probe I,149010,65989.09,83020.88, 55.71498,55, 4566148, 2.4169184290030211480362537800
Discovery Survey Probe I,100000,90000,10000, 10,104, 1040000, 6.7841079460269865067466266900
Gaze Survey Probe I,200000,143999.5,56000.55, 28.00027,74, 4144040, 16.456195737963693764798737170
Expanded Probe Launcher I,40000,12999.72,27000.28, 67.5007,81, 2187023, 16.417910447761194029850746270
Expanded Probe Launcher I Blueprint,60000,60000,0, 0,1, 0, 0.0109814413640946799908155200
Olufami's DNA,20000,29000,-9000, -45,1, -9000, 2.3809523809523809523809523800
Shimon Jaen's Insignia,0,9E+07,-9E+07, -Infinity,0, 0, 0
Gistii C-Type 1MN Afterburner,1.5E+08,0,1.5E+08, 100,1, 150000000, 0
Gistum C-Type 10MN Afterburner,9.4E+07,9.656778E+07,-2567776, -2.731677,2, -5135552, 0
Gist C-Type 100MN Afterburner,8.9E+07,5.5E+07,3.4E+07, 38.20225,1, 34000000, 0
Gistii B-Type 1MN Afterburner,3.6E+07,4E+07,-4000000, -11.11111,1, -4000000, 0
Gistum B-Type 10MN Afterburner,1.49E+08,1.644E+08,-1.54E+07, -10.33557,1, -15400000, 6.2500
Gist B-Type 100MN Afterburner,1.49E+08,1.127507E+08,3.624926E+07, 24.32837,1, 36249260, 0
Gistii A-Type 1MN Afterburner,4.99999E+07,5.77E+07,-7700100, -15.40023,2, -15400200, 0
Gistum A-Type 10MN Afterburner,9.75E+08,3.9E+08,5.85E+08, 60,1, 585000000, 0
Gist A-Type 100MN Afterburner,0,6.2629E+07,-6.2629E+07, -Infinity,1, -62629000, 0
Gist X-Type 100MN Afterburner,8.5E+07,7.344E+07,1.156E+07, 13.6,1, 11560000, 12.500
Zelfarios Kashnostramus's Tag,0,9.5E+07,-9.5E+07, -Infinity,0, 0, 0
Coreli C-Type 1MN Afterburner,4.6E+07,6.49999E+07,-1.89999E+07, -41.30413,1, -18999900, 0
Corelum C-Type 10MN Afterburner,1.04E+08,9.679E+07,7210000, 6.932693,1, 7210000, 0
Core C-Type 100MN Afterburner,0,1.979599E+08,-1.979599E+08, -Infinity,1, -197959900, 0
Coreli B-Type 1MN Afterburner,7E+07,3.339998E+07,3.660002E+07, 52.28574,1, 36600020, 0
Corelum B-Type 10MN Afterburner,0,1.69E+08,-1.69E+08, -Infinity,1, -169000000, 0
Core B-Type 100MN Afterburner,0,1.6E+08,-1.6E+08, -Infinity,1, -160000000, 0
Coreli A-Type 1MN Afterburner,4.2E+07,4E+07,2000000, 4.761905,1, 2000000, 20.634920634920634920634920630
Corelum A-Type 10MN Afterburner,1E+09,4.68E+08,5.32E+08, 53.2,1, 532000000, 0
Core A-Type 100MN Afterburner,0,1.99999E+08,-1.99999E+08, -Infinity,1, -199999000, 0
Core X-Type 100MN Afterburner,7E+08,2.159835E+08,4.840165E+08, 69.14522,1, 484016500, 0
Corpii C-Type Adaptive Nano Plating,8.81111E+07,5.4E+07,3.411111E+07, 38.71375,1, 34111110, 0
Centii C-Type Adaptive Nano Plating,1.03E+08,7.53018E+07,2.76982E+07, 26.89146,1, 27698200, 0
Corpii B-Type Adaptive Nano Plating,0,7.670898E+07,-7.670898E+07, -Infinity,1, -76708980, 0
Centii B-Type Adaptive Nano Plating,1.79E+08,0,1.79E+08, 100,1, 179000000, 0
Corpii A-Type Adaptive Nano Plating,0,1.08E+08,-1.08E+08, -Infinity,1, -108000000, 0
Centii A-Type Adaptive Nano Plating,1.301E+08,1.1E+08,2.01E+07, 15.44965,1, 20100000, 0
Corpii C-Type Kinetic Plating,0,3899980,-3899980, -Infinity,0, 0, 0
Centii C-Type Kinetic Plating,0,1000000,-1000000, -Infinity,1, -1000000, 0
Corpii C-Type Explosive Plating,0,625000,-625000, -Infinity,2, -1250000, 0
Centii C-Type Explosive Plating,0,839999,-839999, -Infinity,1, -839999, 0
Corpii C-Type EM Plating,0,399999,-399999, -Infinity,1, -399999, 0
Centii C-Type EM Plating,0,999999.9,-999999.9, -Infinity,1, -999999.9, 0
Corpii C-Type Thermal Plating,0,972999.9,-972999.9, -Infinity,1, -972999.9, 0
Centii C-Type Thermal Plating,0,1719980,-1719980, -Infinity,1, -1719980, 0
Corpii B-Type Thermal Plating,0,1130000,-1130000, -Infinity,0, 0, 0
Centii B-Type Thermal Plating,0,1200000,-1200000, -Infinity,0, 0, 0
