ItemName,Price,BasePrice,Difference,ProfitMargin,AverageVolume,AverageDailyProfitPotential,PercentSoldInventory,,
Gas Cloud Harvester I,"1,429,998.00","1,225,875.00","204,122.80",14.27,19.00,"3,878,332.00",54.33,,
Arch Angel Proton XL,"6,998.00","4,092.76","2,905.24",41.52,"1,333.00","3,872,685.00",3.11,,
Prowler Exoplanets Hunter SKIN (Permanent),"5,000,000.00","1,130,000.00","3,870,000.00",77.40,1.00,"3,870,000.00",0.00,,
Caldari Navy Iron Charge L,"1,391.74",702.12,689.62,49.55,"5,606.00","3,866,010.00",51.85,,
Caldari Navy Nova Heavy Assault Missile,"1,700.09","1,263.84",436.25,25.66,"8,834.00","3,853,832.00",9.76,,
Radar Sensor Cluster Blueprint,"9,300,000.00","5,449,499.00","3,850,501.00",41.40,1.00,"3,850,501.00",46.67,,
True Sansha EM Plating,"3,900,000.00","55,000.00","3,845,000.00",98.59,1.00,"3,845,000.00",0.00,,
Copper Firework CXIV,"8,490.00",998.89,"7,491.11",88.23,513.00,"3,842,939.00",6.61,,
Barium Firework CXIV,"8,500.00","1,000.00","7,500.00",88.24,512.00,"3,840,000.00",0.00,,
Imperial Navy Microwave M,"998,989.30","360,998.00","637,991.40",63.86,6.00,"3,827,948.00",16.58,,
Gravimetric Sensor Cluster,"50,000.00","36,998.95","13,001.05",26.00,294.00,"3,822,309.00",0.00,,
Medium Projectile Collision Accelerator II,"13,820,000.00","10,000,000.00","3,820,000.00",27.64,1.00,"3,820,000.00",17.24,,
Linear Shield Emitter Blueprint,"9,300,000.00","5,499,016.00","3,800,984.00",40.87,1.00,"3,800,984.00",80.00,,
Fusion Thruster Blueprint,"9,300,000.00","5,499,815.00","3,800,186.00",40.86,1.00,"3,800,186.00",52.08,,
Light Missile Launcher II,"1,200,000.00","1,099,999.00","100,001.00",8.33,38.00,"3,800,038.00",17.46,,
EM Pulse Generator Blueprint,"9,300,000.00","5,499,966.00","3,800,034.00",40.86,1.00,"3,800,034.00",70.45,,
Rupture Chromodynamic Candy SKIN (Permanent),"5,000,000.00","1,199,998.00","3,800,002.00",76.00,1.00,"3,800,002.00",6.67,,
Imperial Navy EM Plating,"5,000,000.00","1,199,999.00","3,800,001.00",76.00,1.00,"3,800,001.00",0.00,,
Corporate Hangar Array,"12,900,000.00","9,099,999.00","3,800,001.00",29.46,1.00,"3,800,001.00",58.82,,
Badger Exoplanets Hunter SKIN (Permanent),"5,000,000.00","1,200,000.00","3,800,000.00",76.00,1.00,"3,800,000.00",0.00,,
1MN Monopropellant Enduring Afterburner,"40,000.00","3,995.95","36,004.05",90.01,105.00,"3,780,425.00",5.70,,
Caldari Navy Inferno Torpedo,"3,244.96","2,600.00",644.96,19.88,"5,858.00","3,778,176.00",14.74,,
Data Analyzer II,"1,395,962.00","1,019,785.00","376,176.90",26.95,10.00,"3,761,769.00",16.13,,
Decayed Medium Energy Neutralizer Mutaplasmid,"1,999,999.00","120,000.00","1,879,999.00",94.00,2.00,"3,759,998.00",4.76,,
Mobile Medium Warp Disruptor II,"9,878,289.00","8,000,000.00","1,878,289.00",19.01,2.00,"3,756,578.00",24.54,,
'Integrated' Vespa,"2,400,000.00","1,649,995.00","750,005.00",31.25,5.00,"3,750,025.00",40.00,,
Dread Guristas Shield Flux Coil,"5,000,000.00","1,249,999.00","3,750,001.00",75.00,1.00,"3,750,001.00",27.03,,
Arch Angel Depleted Uranium XL,"4,988.91","4,178.66",810.25,16.24,"4,600.00","3,727,150.00",6.37,,
Blood Infrared L,"1,300,000.00","58,998.99","1,241,001.00",95.46,3.00,"3,723,003.00",10.00,,
Apostle Exoplanets Hunter SKIN (Permanent),"12,500,000.00","8,781,000.00","3,719,000.00",29.75,1.00,"3,719,000.00",0.00,,
Superconductor Rails,"46,900.55","30,006.00","16,894.55",36.02,220.00,"3,716,801.00",25.94,,
Medium Cap Battery II,"1,890,000.00","1,518,700.00","371,300.00",19.65,10.00,"3,713,000.00",10.64,,
Iteron Mark V Blueprint,"16,500,000.00","12,800,000.00","3,700,000.00",22.42,1.00,"3,700,000.00",80.00,,
Dread Guristas 150mm Railgun,"15,000,000.00","11,300,000.00","3,700,000.00",24.67,1.00,"3,700,000.00",0.00,,
Imperial Navy Gamma M,"900,000.00","489,000.00","411,000.00",45.67,9.00,"3,699,000.00",49.50,,
Scan Rangefinding Array I,"189,995.90","57,995.86","132,000.10",69.48,28.00,"3,696,002.00",33.39,,
Angel Gold Tag,"500,000.00","89,457.43","410,542.60",82.11,9.00,"3,694,883.00",13.33,,
Imperial Navy Infrared S,"345,000.00","140,000.00","205,000.00",59.42,18.00,"3,690,000.00",5.00,,
Lockbreaker Bomb,"999,995.00","385,022.60","614,972.40",61.50,6.00,"3,689,834.00",21.18,,
Active Shielding Charge,"1,500.09",661.47,838.62,55.90,"4,397.00","3,687,412.00",11.58,,
Prospect Caldari Industrial Livery SKIN (Permanent),"6,777,999.00","3,099,999.00","3,678,000.00",54.26,1.00,"3,678,000.00",0.00,,
280mm Howitzer Artillery II,"747,695.20","620,999.00","126,696.20",16.94,29.00,"3,674,190.00",12.40,,
Federation Navy Fleet Captain Insignia I,"1,999,999.00","1,390,000.00","609,998.80",30.50,6.00,"3,659,992.00",0.00,,
Arch Angel Fusion M,"2,500.00",869.00,"1,631.00",65.24,"2,242.00","3,656,702.00",26.48,,
Small Signal Disruption Amplifier II,"4,433,219.00","779,984.10","3,653,235.00",82.41,1.00,"3,653,235.00",18.18,,
Fedo,"9,999,999.00","6,347,900.00","3,652,099.00",36.52,1.00,"3,652,099.00",0.00,,
True Sanshas Infrared L,"791,000.00","460,000.00","331,000.00",41.85,11.00,"3,641,000.00",0.00,,
Synth Crash Booster,"2,000,000.00","1,090,000.00","909,999.90",45.50,4.00,"3,640,000.00",56.38,,
Men's YC119 Yoiul Festival Cap,"2,500,000.00","680,000.00","1,820,000.00",72.80,2.00,"3,640,000.00",0.00,,
Imperial Navy Xray M,"900,000.00","445,987.10","454,012.90",50.45,8.00,"3,632,103.00",22.07,,
Compressed Sparkling Plagioclase,"7,530.00","7,100.00",430.00,5.71,"8,424.00","3,622,320.00",0.00,,
Scarab I,"4,900,000.00","4,297,400.00","602,600.00",12.30,6.00,"3,615,600.00",18.60,,
Omnidirectional Tracking Enhancer II,"1,590,561.00","1,139,853.00","450,708.40",28.34,8.00,"3,605,667.00",16.82,,
'Integrated' Berserker,"3,200,000.00","2,479,000.00","721,000.00",22.53,5.00,"3,605,000.00",13.08,,
'Augmented' Acolyte,"14,700,000.00","13,499,100.00","1,200,900.00",8.17,3.00,"3,602,700.00",15.49,,
Arch Angel Nuclear L,198.00,38.00,160.00,80.81,"22,515.00","3,602,400.00",1.19,,
Small Warp Core Optimizer II,"6,600,000.00","2,999,470.00","3,600,530.00",54.55,1.00,"3,600,530.00",22.22,,
Gnosis Icecloud Investigators SKIN (Permanent),"4,000,000.00","2,199,997.00","1,800,003.00",45.00,2.00,"3,600,006.00",33.33,,
Pithum C-Type Medium Remote Shield Booster,"8,700,000.00","7,500,000.00","1,200,000.00",13.79,3.00,"3,600,000.00",22.22,,
Merlin Exoplanets Hunter SKIN (Permanent),"3,800,000.00","200,000.00","3,600,000.00",94.74,1.00,"3,600,000.00",0.00,,
Crow Exoplanets Hunter SKIN (Permanent),"4,000,000.00","400,000.00","3,600,000.00",90.00,1.00,"3,600,000.00",33.33,,
Dual 180mm AutoCannon II,"1,599,990.00","1,239,991.00","359,999.40",22.50,10.00,"3,599,994.00",23.31,,
Mining Laser Field Enhancement Charge,666.00,539.99,126.01,18.92,"28,482.00","3,589,017.00",39.02,,
200mm Light Gallium Machine Gun,"169,000.00","40,935.17","128,064.80",75.78,28.00,"3,585,815.00",28.60,,
Scourge Rage Heavy Assault Missile,148.99,109.99,39.00,26.18,"91,924.00","3,585,037.00",6.33,,
Ocular Filter - Standard,"20,596,870.00","19,999,950.00","596,924.00",2.90,6.00,"3,581,544.00",53.26,,
Caldari Navy Mjolnir Rocket,998.45,799.44,199.01,19.93,"17,964.00","3,575,016.00",23.40,,
Large Railgun Specialization,"10,000,000.00","6,428,000.00","3,572,000.00",35.72,1.00,"3,572,000.00",4.65,,
Phased Plasma L,174.99,135.44,39.55,22.60,"90,288.00","3,570,891.00",18.83,,
Shadow Iridium Charge L,587.44,84.93,502.51,85.54,"7,083.00","3,559,278.00",0.00,,
Guristas Nova Heavy Assault Missile,"1,249.97",583.92,666.05,53.29,"5,340.00","3,556,707.00",9.58,,
Small Shield Extender II,"498,988.80","387,993.90","110,994.90",22.24,32.00,"3,551,836.00",21.01,,
Zainou 'Gypsy' Electronics Upgrades EU-601,"3,999,999.00","449,800.00","3,550,199.00",88.76,1.00,"3,550,199.00",0.00,,
Standup Multirole Missile Launcher I,"29,000,000.00","27,225,010.00","1,774,990.00",6.12,2.00,"3,549,980.00",7.69,,
Occator Exoplanets Hunter SKIN (Permanent),"4,689,000.00","1,140,000.00","3,549,000.00",75.69,1.00,"3,549,000.00",0.00,,
Naughty People Firework,"2,800.00","1,924.00",876.00,31.29,"4,046.00","3,544,296.00",31.42,,
'Integrated' Hobgoblin,"1,250,000.00","897,999.90","352,000.10",28.16,10.00,"3,520,000.00",11.51,,
Radio L,"110,000.00","20,000.00","90,000.00",81.82,39.00,"3,510,000.00",15.27,,
Hyperion Capsuleer Day XV SKIN (Permanent),"27,500,000.00","23,997,990.00","3,502,008.00",12.73,1.00,"3,502,008.00",0.00,,
Sunesis,"8,699,999.00","7,999,985.00","700,014.00",8.05,5.00,"3,500,070.00",38.65,,
Coercer Purity of the Throne SKIN (Permanent),"27,500,000.00","23,999,990.00","3,500,012.00",12.73,1.00,"3,500,012.00",0.00,,
Zainou 'Deadeye' Missile Bombardment MB-703,"24,000,000.00","20,500,000.00","3,500,002.00",14.58,1.00,"3,500,002.00",28.21,,
Large Egress Port Maximizer I,"4,400,000.00","2,649,999.00","1,750,001.00",39.77,2.00,"3,500,002.00",11.29,,
Zainou 'Gypsy' Long Range Targeting LT-802,"10,000,000.00","6,500,000.00","3,500,000.00",35.00,1.00,"3,500,000.00",90.00,,
Centum C-Type Energized EM Membrane,"6,000,000.00","2,500,000.00","3,500,000.00",58.33,1.00,"3,500,000.00",52.17,,
Apotheosis Icecloud Investigators SKIN (Permanent),"1,000,000.00","300,000.00","700,000.00",70.00,5.00,"3,500,000.00",0.00,,
Basilisk Exoplanets Hunter SKIN (Permanent),"4,981,762.00","1,489,997.00","3,491,765.00",70.09,1.00,"3,491,765.00",0.00,,
Dread Guristas Nova Rocket,"54,999.98","39,484.64","15,515.34",28.21,225.00,"3,490,952.00",1.22,,
Purloined Sansha Data Analyzer,"15,000,000.00","11,521,000.00","3,479,000.00",23.19,1.00,"3,479,000.00",0.00,,
Medium Auxiliary Thrusters II,"11,438,000.00","7,959,926.00","3,478,075.00",30.41,1.00,"3,478,074.00",27.78,,
Heavy Pulse Laser II,"1,999,990.00","1,613,972.00","386,018.30",19.30,9.00,"3,474,164.00",30.04,,
Sanshas Microwave S,"698,990.40","5,910.00","693,080.40",99.15,5.00,"3,465,402.00",2.92,,
Men's Capsuleer Elite XV T-Shirt,"2,000,000.00","268,999.90","1,731,000.00",86.55,2.00,"3,462,000.00",0.00,,
Myrmidon Capsuleer Day XV SKIN (Permanent),"21,450,000.00","17,988,000.00","3,462,000.00",16.14,1.00,"3,462,000.00",0.00,,
Large Dynamic Fuel Valve I,"2,499,995.00","1,350,000.00","1,149,995.00",46.00,3.00,"3,449,985.00",75.00,,
Cynosural Field Generator I,"998,000.00","886,767.20","111,232.80",11.15,31.00,"3,448,217.00",17.44,,
Agency 'Overclocker' SB7 Dose III,"8,000,000.00","7,569,570.00","430,430.50",5.38,8.00,"3,443,444.00",32.89,,
Inherent Implants 'Noble' Hull Upgrades HG-1002,"11,500,000.00","8,065,899.00","3,434,101.00",29.86,1.00,"3,434,101.00",7.69,,
Gist X-Type Explosive Deflection Field,"6,490,000.00","3,076,983.00","3,413,017.00",52.59,1.00,"3,413,017.00",52.63,,
Blood Infrared S,"1,000,000.00","149,000.00","851,000.10",85.10,4.00,"3,404,000.00",4.35,,
Decayed Large Shield Extender Mutaplasmid,"6,000,000.00","2,599,000.00","3,401,001.00",56.68,1.00,"3,401,000.00",28.57,,
Simple Reactor Array,"11,400,000.00","8,000,000.00","3,400,000.00",29.82,1.00,"3,400,000.00",0.00,,
Eifyr and Co. 'Alchemist' Gas Harvesting GH-801,"4,000,000.00","600,000.00","3,400,000.00",85.00,1.00,"3,400,000.00",0.00,,
Decayed 1MN Afterburner Mutaplasmid,"2,500,000.00","800,000.00","1,700,000.00",68.00,2.00,"3,400,000.00",0.00,,
Flames of the Rebellion Firework,"133,999.90","119,997.80","14,002.11",10.45,242.00,"3,388,510.00",7.97,,
Mining Drone II,"850,000.00","808,187.90","41,812.13",4.92,81.00,"3,386,782.00",38.07,,
Bifrost Exoplanets Hunter SKIN (Permanent),"3,490,000.00","117,999.00","3,372,001.00",96.62,1.00,"3,372,001.00",0.00,,
Decayed Warp Scrambler Mutaplasmid,"1,800,000.00","120,000.00","1,680,000.00",93.33,2.00,"3,360,000.00",0.00,,
Heavy Infectious Scoped Energy Neutralizer,"749,000.00","78,007.52","670,992.50",89.59,5.00,"3,354,962.00",6.67,,
Standard Drop Booster,"4,300,000.00","3,629,999.00","670,001.30",15.58,5.00,"3,350,006.00",14.05,,
Condor Blueprint,"5,500,000.00","2,150,000.00","3,350,000.00",60.91,1.00,"3,350,000.00",30.00,,
Replete Zircon,"9,999.99",0.00,"9,999.99",100.00,334.00,"3,339,997.00",0.75,,
Multifrequency L,"149,989.90","34,999.96","114,989.90",76.67,29.00,"3,334,708.00",19.57,,
Small Drone Scope Chip II,"9,000,000.00","5,681,989.00","3,318,012.00",36.87,1.00,"3,318,012.00",0.00,,
Purifier Exoplanets Hunter SKIN (Permanent),"3,500,000.00","186,600.00","3,313,400.00",94.67,1.00,"3,313,400.00",50.00,,
Dread Guristas Antimatter Charge L,"11,111.11","10,449.86",661.25,5.95,"5,006.00","3,310,218.00",0.00,,
Heavy Beam Laser II,"2,150,000.00","1,598,645.00","551,355.50",25.64,6.00,"3,308,133.00",3.29,,
Gallentean Planetary Vehicles,"4,999,999.00","3,897,494.00","1,102,505.00",22.05,3.00,"3,307,516.00",20.00,,
Caldari Navy Mjolnir Torpedo,"2,798.99","2,258.96",540.03,19.29,"6,105.00","3,296,883.00",18.56,,
True Sanshas Infrared S,"3,495,000.00","200,000.00","3,295,000.00",94.28,1.00,"3,295,000.00",0.48,,
True Sanshas Microwave L,"999,999.00","451,000.00","548,999.00",54.90,6.00,"3,293,994.00",6.67,,
Women's Cap (Blood Raiders),"3,965,001.00","672,985.90","3,292,015.00",83.03,1.00,"3,292,015.00",37.50,,
Guristas Inferno XL Torpedo,"14,999.99","12,983.90","2,016.09",13.44,"1,631.00","3,288,242.00",0.00,,
Small Nanobot Accelerator II,"14,130,000.00","10,861,140.00","3,268,860.00",23.13,1.00,"3,268,860.00",30.91,,
Small Remote Armor Repairer II,"2,450,000.00","1,633,999.00","816,000.90",33.31,4.00,"3,264,004.00",18.71,,
Small Pulse Laser Specialization,"4,100,000.00","838,000.00","3,262,000.00",79.56,1.00,"3,262,000.00",49.43,,
Dual Heavy Pulse Laser I,"1,111,111.00","296,800.00","814,311.00",73.29,4.00,"3,257,244.00",5.88,,
Data Processor,"29,999.98","4,399.00","25,600.98",85.34,127.00,"3,251,324.00",18.41,,
Large Command Processor I,"5,500,000.00","2,249,985.00","3,250,015.00",59.09,1.00,"3,250,015.00",24.24,,
Harpy Exoplanets Hunter SKIN (Permanent),"4,000,000.00","749,998.90","3,250,001.00",81.25,1.00,"3,250,001.00",0.00,,
Low-grade Asklepian Gamma,"45,000,000.00","41,750,000.00","3,250,000.00",7.22,1.00,"3,250,000.00",33.33,,
'Integrated' Hammerhead,"1,349,999.00","1,025,228.00","324,771.20",24.06,10.00,"3,247,712.00",63.55,,
X-Large Ancillary Shield Booster,"1,999,999.00","1,460,000.00","539,999.00",27.00,6.00,"3,239,994.00",22.13,,
Medium Inverted Signal Field Projector II,"11,111,000.00","7,874,099.00","3,236,901.00",29.13,1.00,"3,236,901.00",0.00,,
Caldari Navy Inferno Light Missile,"1,044.00",926.77,117.23,11.23,"27,594.00","3,234,844.00",10.55,,
Domination Warp Scrambler,"103,221,300.00","100,000,000.00","3,221,336.00",3.12,1.00,"3,221,336.00",0.00,,
Eifyr and Co. 'Rogue' Warp Drive Speed WS-605,"3,750,000.00","531,000.00","3,219,000.00",85.84,1.00,"3,219,000.00",23.53,,
Hawk Exoplanets Hunter SKIN (Permanent),"4,711,600.00","1,499,999.00","3,211,601.00",68.16,1.00,"3,211,601.00",83.33,,
Executioner Cold Iron SKIN (Permanent),"15,000,000.00","11,790,000.00","3,210,000.00",21.40,1.00,"3,210,000.00",0.00,,
Small Emission Scope Sharpener II,"3,348,600.00","1,744,345.00","1,604,255.00",47.91,2.00,"3,208,510.00",42.77,,
Small Engine Thermal Shielding II,"5,555,555.00","2,350,953.00","3,204,602.00",57.68,1.00,"3,204,602.00",16.67,,
Vanquisher Glacial Drift SKIN (Permanent),"10,000,000.00","6,799,988.00","3,200,013.00",32.00,1.00,"3,200,012.00",0.00,,
Eifyr and Co. 'Gunslinger' Motion Prediction MR-702,"10,000,000.00","6,799,995.00","3,200,005.00",32.00,1.00,"3,200,005.00",70.00,,
Large Precursor Weapon,"2,000,000.00","399,999.00","1,600,001.00",80.00,2.00,"3,200,002.00",15.79,,
Eifyr and Co. 'Rogue' Acceleration Control AC-603,"22,198,600.00","19,004,000.00","3,194,596.00",14.39,1.00,"3,194,596.00",83.33,,
Scourge Rage Torpedo,"1,799.99","1,340.00",459.99,25.56,"6,890.00","3,169,331.00",7.71,,
Aqueous Liquids,3.00,1.70,1.30,43.33,"2,436,271.00","3,167,152.00",0.00,,
Small Tracking Diagnostic Subroutines II,"5,050,000.00","1,886,980.00","3,163,020.00",62.63,1.00,"3,163,020.00",25.00,,
Mining Laser Optimization Charge,628.01,533.94,94.07,14.98,"33,574.00","3,158,306.00",34.66,,
Imperial Navy Ultraviolet M,"900,000.00","449,995.80","450,004.30",50.00,7.00,"3,150,030.00",37.76,,
Griffin Blueprint,"5,500,000.00","2,350,000.00","3,150,000.00",57.27,1.00,"3,150,000.00",80.00,,
Loki Propulsion - Intercalated Nanofibers,"37,150,000.00","34,000,000.00","3,149,996.00",8.48,1.00,"3,149,996.00",19.35,,
Mystic M,"4,000.00","3,037.95",962.05,24.05,"3,273.00","3,148,790.00",11.27,,
Women's 'Gunner' Jacket (Guristas),"1,500,000.00","451,111.00","1,048,889.00",69.93,3.00,"3,146,667.00",0.00,,
Republic Fleet Berserker,"1,999,899.00","1,924,999.00","74,900.00",3.75,42.00,"3,145,800.00",30.90,,
Dual 650mm 'Scout' Repeating Cannon I,"1,010,000.00","223,999.90","786,000.10",77.82,4.00,"3,144,000.00",46.15,,
Inferno Rage Torpedo,"1,789.89","1,347.99",441.90,24.69,"7,112.00","3,142,793.00",35.93,,
Guardian Lead Charge M,"3,999.99",856.99,"3,143.00",78.58,996.00,"3,130,428.00",1.83,,
Medium Dynamic Fuel Valve II,"14,000,000.00","10,872,150.00","3,127,851.00",22.34,1.00,"3,127,851.00",3.13,,
250mm Light Artillery Cannon II,"694,999.90","499,998.90","195,001.00",28.06,16.00,"3,120,016.00",19.74,,
Strong Exile Booster,"35,000,000.00","31,883,890.00","3,116,112.00",8.90,1.00,"3,116,112.00",15.79,,
Medium C5-L Emergency Shield Overload I,"340,000.00","57,950.00","282,050.00",82.96,11.00,"3,102,550.00",26.44,,
Drone Link Augmentor II,"1,200,000.00","1,044,989.00","155,010.90",12.92,20.00,"3,100,218.00",17.29,,
Men's 'Outlaw' Jacket (Blood Raiders extra red),"10,000,000.00","6,899,989.00","3,100,011.00",31.00,1.00,"3,100,011.00",0.00,,
Inherent Implants 'Noble' Hull Upgrades HG-1003,"23,000,000.00","19,900,000.00","3,100,000.00",13.48,1.00,"3,100,000.00",0.00,,
Centii A-Type Small Armor Repairer,"80,000,000.00","76,900,000.00","3,100,000.00",3.88,1.00,"3,100,000.00",35.29,,
Large Salvage Tackle I,"13,000,000.00","9,900,000.00","3,099,995.00",23.85,1.00,"3,099,995.00",0.00,,
Mark I Compact Capacitor Power Relay,"310,000.00","2,500.00","307,500.00",99.19,10.00,"3,075,000.00",41.12,,
Drone Transceiver,"3,000,000.00","2,951,998.00","48,002.25",1.60,64.00,"3,072,144.00",5.37,,
Arch Angel EMP S,"2,099.98",798.00,"1,301.98",62.00,"2,358.00","3,070,069.00",22.54,,
Reactor Control Unit II,"899,997.10","644,499.90","255,497.10",28.39,12.00,"3,065,966.00",6.59,,
Small Gremlin Compact Energy Neutralizer,"200,000.00","29,777.00","170,223.00",85.11,18.00,"3,064,014.00",7.33,,
Dread Guristas Iridium Charge M,"3,498.54",768.95,"2,729.59",78.02,"1,122.00","3,062,600.00",1.94,,
Oneiros Exoplanets Hunter SKIN (Permanent),"3,800,000.00","739,000.00","3,061,000.00",80.55,1.00,"3,061,000.00",0.00,,
Coreli A-Type 1MN Afterburner,"42,000,000.00","38,949,000.00","3,051,000.00",7.26,1.00,"3,051,000.00",20.55,,
Eifyr and Co. 'Rogue' Evasive Maneuvering EM-701,"3,999,999.00","949,798.40","3,050,201.00",76.26,1.00,"3,050,200.00",0.00,,
Coercer Blueprint,"12,750,000.00","9,700,000.00","3,049,999.00",23.92,1.00,"3,049,999.00",0.00,,
Guristas Nova Torpedo,"1,099.94",450.00,649.94,59.09,"4,677.00","3,039,769.00",6.38,,
Imperial Navy Microwave L,"1,188,500.00","682,005.00","506,495.10",42.62,6.00,"3,038,971.00",21.00,,
Guristas Nova XL Torpedo,"14,999.94","12,499.94","2,500.00",16.67,"1,214.00","3,035,000.00",0.00,,
Sodium Firework CXIV,"9,400.00","1,111.11","8,288.89",88.18,366.00,"3,033,734.00",11.74,,
Republic Fleet Fusion S,600.00,512.56,87.44,14.57,"34,637.00","3,028,659.00",3.86,,
Drone Assembly Array,"10,000,000.00","6,979,999.00","3,020,001.00",30.20,1.00,"3,020,001.00",0.00,,
Quad Light Beam Laser II,"1,999,995.00","1,397,899.00","602,096.10",30.10,5.00,"3,010,480.00",18.91,,
Imperial Navy Standard S,"530,199.00","279,999.00","250,200.00",47.19,12.00,"3,002,400.00",9.96,,
Venture Gallente Industrial Livery SKIN (Permanent),"7,500,000.00","4,499,900.00","3,000,100.00",40.00,1.00,"3,000,100.00",0.00,,
Genolution Core Augmentation CA-2,"185,000,000.00","182,000,000.00","3,000,016.00",1.62,1.00,"3,000,016.00",11.11,,
Angel Brass Tag,"16,000,000.00","15,000,000.00","1,000,001.00",6.25,3.00,"3,000,003.00",0.00,,
Inherent Implants 'Squire' Capacitor Systems Operation EO-602,"11,900,000.00","8,899,999.00","3,000,001.00",25.21,1.00,"3,000,001.00",0.00,,
Inherent Implants 'Lancer' Controlled Bursts CB-702,"10,000,000.00","7,000,000.00","3,000,000.00",30.00,1.00,"3,000,000.00",40.00,,
Electronic Engineering,"15,000,000.00","13,500,000.00","1,500,000.00",10.00,2.00,"3,000,000.00",0.00,,
Domination Target Painter,"50,000,000.00","47,000,000.00","3,000,000.00",6.00,1.00,"3,000,000.00",0.00,,
Maulus Glacial Drift SKIN (Permanent),"5,000,000.00","2,000,000.00","3,000,000.00",60.00,1.00,"3,000,000.00",0.00,,
Women's Exoplanets Data Analyst Lab Coat,"8,000,000.00","5,000,000.00","3,000,000.00",37.50,1.00,"3,000,000.00",0.00,,
Drake & Rupture SKIN Crate,"4,999,999.00","2,000,000.00","2,999,999.00",60.00,1.00,"2,999,999.00",0.00,,
Praxis Icecloud Investigators SKIN (Permanent),"3,995,000.00","2,498,987.00","1,496,013.00",37.45,2.00,"2,992,026.00",0.00,,
Small Processor Overclocking Unit II,"3,496,667.00","2,749,990.00","746,677.00",21.35,4.00,"2,986,708.00",20.88,,
Tetryon Exotic Plasma M,"11,666.00","9,698.99","1,967.01",16.86,"1,509.00","2,968,218.00",58.42,,
Sulfuric Acid,"2,859.00","2,712.69",146.31,5.12,"20,269.00","2,965,558.00",0.00,,
Dragoon Exoplanets Hunter SKIN (Permanent),"3,000,000.00","39,999.00","2,960,001.00",98.67,1.00,"2,960,001.00",0.00,,
Agitated Dark Filament,"530,000.00","161,004.50","368,995.50",69.62,8.00,"2,951,964.00",36.96,,
Calm Dark Filament,"459,000.00","349,974.00","109,026.00",23.75,27.00,"2,943,702.00",6.67,,
Legion Defensive - Nanobot Injector,"41,079,970.00","38,138,970.00","2,941,000.00",7.16,1.00,"2,941,000.00",22.92,,
Camera Drones,"85,000.00","79,999.99","5,000.01",5.88,588.00,"2,940,004.00",0.00,,
Type-D Restrained Capacitor Power Relay,"300,000.00","6,499.99","293,500.00",97.83,10.00,"2,935,000.00",16.83,,
Neurovisual Input Matrix,"7,999.99","3,459.00","4,540.99",56.76,646.00,"2,933,480.00",71.06,,
Caldari Navy Scourge Rocket,934.98,763.84,171.14,18.30,"17,121.00","2,930,087.00",46.56,,
Small Armor Repairer II,"648,000.60","493,858.80","154,141.80",23.79,19.00,"2,928,694.00",8.37,,
Federation Navy Plutonium Charge L,"1,398.72","1,019.99",378.73,27.08,"7,711.00","2,920,387.00",0.00,,
Laser Focusing Crystals,"50,000.00","37,983.00","12,017.00",24.03,243.00,"2,920,131.00",81.58,,
Small AutoCannon Battery,"2,100,000.00","1,130,472.00","969,528.30",46.17,3.00,"2,908,585.00",3.57,,
Sentient Drone Damage Amplifier,"144,900,000.00","141,999,000.00","2,901,008.00",2.00,1.00,"2,901,008.00",15.38,,
Executioner Blueprint,"5,500,000.00","2,599,999.00","2,900,001.00",52.73,1.00,"2,900,001.00",80.00,,
500MN Microwarpdrive I,"1,584,000.00","618,893.00","965,107.00",60.93,3.00,"2,895,321.00",8.70,,
Oracle Exoplanets Hunter SKIN (Permanent),"3,000,000.00","110,000.00","2,890,000.00",96.33,1.00,"2,890,000.00",0.00,,
Decayed Magnetic Field Stabilizer Mutaplasmid,"3,500,000.00","613,234.90","2,886,765.00",82.48,1.00,"2,886,765.00",0.00,,
Dark Blood Infrared M,"781,000.00","300,000.00","481,000.00",61.59,6.00,"2,886,000.00",43.75,,
Conflagration M,"319,999.00","208,999.70","110,999.30",34.69,26.00,"2,885,981.00",42.99,,
Triglavian Trinary Datastream HFN3,"1,000,000.00","522,220.60","477,779.40",47.78,6.00,"2,866,676.00",0.00,,
Medium Railgun Specialization,"3,999,993.00","2,571,000.00","1,428,993.00",35.72,2.00,"2,857,986.00",30.85,,
Large Shield Booster II,"1,664,000.00","1,189,988.00","474,011.80",28.49,6.00,"2,844,070.00",20.47,,
Heavy Assault Missile Specialization,"2,999,999.00","2,289,000.00","710,999.00",23.70,4.00,"2,843,996.00",0.11,,
Heavy Neutron Blaster II,"1,849,999.00","1,682,827.00","167,172.00",9.04,17.00,"2,841,924.00",17.05,,
Scourge Javelin Heavy Assault Missile,148.99,103.28,45.71,30.68,"62,070.00","2,837,220.00",1.42,,
Guristas Lead Charge L,699.92,69.86,630.06,90.02,"4,492.00","2,830,230.00",5.01,,
1200mm Heavy 'Scout' Artillery I,"700,000.00","295,750.00","404,250.00",57.75,7.00,"2,829,750.00",33.61,,
Drone Cerebral Fragment,"108,933.00","100,000.00","8,933.01",8.20,316.00,"2,822,830.00",6.08,,
Titanium Carbide,200.00,178.79,21.21,10.61,"133,040.00","2,821,779.00",12.56,,
Federation Navy Antimatter Charge L,"1,200.00","1,020.00",180.00,15.00,"15,585.00","2,805,300.00",5.32,,
