ItemName,Region,BaseRegion,AveragePrice,BaseAveragePrice,Difference,ProfitMargin,Volume,BaseVolume,AverageVolumeProfitMarginPotential,PotentialDailyProfit
Cryoprotectant Solution,Metropolis,Jita,112000,111790.1,209.8906,0.1874023,537,12896,1258.594,2706750
Plasmoids,Metropolis,Jita,351.09,593.05,241.96,40.79926,49595,1952987,4.085193E+07,4.725447E+08
Electrolytes,Metropolis,Jita,460,683.89,223.89,32.73772,1520,2107991,3.453028E+07,4.719581E+08
Oxidizing Compound,Metropolis,Jita,591,637.16,46.15997,7.244644,51039,638200,2496642,2.945929E+07
Bacteria,Metropolis,Jita,289.99,310,20.01001,6.454842,37379,1136671,3789154,2.27448E+07
Proteins,Metropolis,Jita,799,922.15,123.15,13.35466,1273,1784573,1.192469E+07,2.197702E+08
Biofuels,Metropolis,Jita,50.01,217.27,167.26,76.98256,21934,1251810,4.902804E+07,2.093778E+08
Industrial Fibers,Metropolis,Jita,938.98,815.31,123.67,13.17067,13160,1963785,1.301884E+07,2.428613E+08
Reactive Metals,Metropolis,Jita,350,470,120,25.53192,920,2195130,2.803468E+07,2.634156E+08
Precious Metals,Metropolis,Jita,740,854.17,114.17,13.36619,51700,2674291,1.821805E+07,3.053237E+08
Toxic Metals,Metropolis,Jita,350,489.03,139.03,28.42975,413750,2678160,4.395111E+07,3.723446E+08
Chiral Structures,Metropolis,Jita,0.01,1039.98,1039.97,99.99904,10762,2634885,1.32281E+08,2.740201E+09
Advanced Planetology,Metropolis,Jita,9609159,1.02166E+07,607439,5.945609,2,21,65.4017,1.275622E+07
Light Missile Launcher II,Metropolis,Jita,973774.8,1045100,71324.81,6.82469,48,2504,8708.305,1.785973E+08
Planetology,Metropolis,Jita,1000000,983780.8,16219.25,1.621925,2,32,27.57273,519016
Heavy Missile Launcher II,Metropolis,Jita,1392595,1032898,359697.3,25.82928,29,832,11106.59,2.992681E+08
Torpedo Launcher II,Metropolis,Jita,5197990,4477973,720017,13.85184,12,483,3421.403,3.477682E+08
Wasp II,Metropolis,Jita,2049984,1841983,208001.4,10.14649,3,1926,9781.214,4.006107E+08
Ogre I,Metropolis,Jita,19292.26,26888.98,7596.721,28.25217,90,3738,54074.66,2.839654E+07
Ogre I Blueprint,Metropolis,Jita,7000000,7000000,0,0,1,7,0,0
Ogre II,Metropolis,Jita,1705000,1499999,205001.4,12.02354,22,1954,11879.26,4.005727E+08
Hobgoblin I,Metropolis,Jita,2500,2893.97,393.97,13.61348,678,30068,209280,1.184589E+07
Hobgoblin I Blueprint,Metropolis,Jita,250000,259957.2,9957.234,3.830336,1,13,26.81235,129444
Hobgoblin II,Metropolis,Jita,387990,365500,22490,5.796541,285,7669,23052.84,1.724758E+08
Nanites,Metropolis,Jita,6300,5524.14,775.8599,12.31524,16,127844,787313.1,9.918903E+07
Hornet I,Metropolis,Jita,3499.99,2749.95,750.04,21.42978,245,9432,103677.3,7074378
Hornet I Blueprint,Metropolis,Jita,300000,310992.3,10992.31,3.534593,2,13,24.74215,142900.1
Hornet II,Metropolis,Jita,455346.1,370499.9,84846.19,18.63334,37,2352,22248.21,1.995582E+08
Berserker I,Metropolis,Jita,38600.01,63549.98,24949.97,39.26039,113,3474,70393.88,8.667619E+07
Berserker I Blueprint,Metropolis,Jita,4000000,4000000,0,0,1,6,0,0
Berserker II,Metropolis,Jita,2124862,1692000,432861.8,20.37129,16,923,9554.135,3.995314E+08
Warrior I,Metropolis,Jita,6900,5448.87,1451.13,21.03087,424,8943,98487.55,1.297746E+07
Warrior I Blueprint,Metropolis,Jita,400000,429112.5,29112.5,6.784351,1,12,40.70611,349350
Warrior II,Metropolis,Jita,400000,394499.5,5500.531,1.375133,214,13998,9771.693,7.699644E+07
Interplanetary Consolidation,Metropolis,Jita,500000,533650.1,33650.06,6.305642,5,20,75.66771,673001.3
Command Center Upgrades,Metropolis,Jita,435000,647945.3,212945.3,32.8647,7,21,460.1059,4471852
Mjolnir Torpedo,Metropolis,Jita,96,223.08,127.08,56.96611,6600,199415,5867908,2.534166E+07
Mjolnir Torpedo Blueprint,Metropolis,Jita,7000000,7000000,0,0,1,2,0,0
Nova Torpedo,Metropolis,Jita,214,320,106,33.125,18500,197465,3576904,2.093129E+07
Nova Torpedo Blueprint,Metropolis,Jita,1E+07,7525000,2475000,24.75,1,4,49.5,9900000
Inferno Torpedo,Metropolis,Jita,71.01,343.99,272.98,79.35696,9834,202307,8417392,5.522576E+07
Inferno Torpedo Blueprint,Metropolis,Jita,8000000,5383334,2616667,32.70833,1,3,65.41666,7850000
Mjolnir Rocket,Metropolis,Jita,1.48,9,7.52,83.55556,44130,561932,2.531992E+07,4225729
Mjolnir Rocket Blueprint,Metropolis,Jita,35000,35000,0,0,5,4,0,0
Inferno Rocket,Metropolis,Jita,3.72,4.8,1.08,22.5,1816,379546,4290323,409909.8
Inferno Rocket Blueprint,Metropolis,Jita,40000,40000,0,0,5,3,0,0
Nova Rocket,Metropolis,Jita,3.32,5.94,2.62,44.10775,4816,489584,1.090344E+07,1282710
Nova Rocket Blueprint,Metropolis,Jita,50000,50000,0,0,5,3,0,0
Barren Command Center,Metropolis,Jita,302000.1,98996.47,203003.6,67.21972,6,626,21241.43,1.270803E+08
Oceanic Command Center,Metropolis,Jita,45500.08,98996.89,53496.81,54.03888,4,170,4701.383,9094458
Explosive Deflection Amplifier I,Metropolis,Jita,27999.95,41999.74,13999.79,33.33304,4,4,133.3322,55999.16
Explosive Deflection Amplifier I Blueprint,Metropolis,Jita,187420,371210,183790,49.51106,1,4,99.02212,735160
Explosive Deflection Amplifier II,Metropolis,Jita,603000,702677.3,99677.31,14.18536,1,70,496.4876,6977412
Ice Command Center,Metropolis,Jita,120000,85088.64,34911.35,29.09279,3,146,2152.867,5097058
Gas Command Center,Metropolis,Jita,40500.01,85521.51,45021.5,52.64348,4,276,7370.087,1.242593E+07
Thermal Dissipation Amplifier I,Metropolis,Jita,30222.55,26495.56,3726.99,12.33182,3,74,468.6091,275797.3
Thermal Dissipation Amplifier I Blueprint,Metropolis,Jita,187420,540000,352580,65.29259,1,2,65.29259,705160
Thermal Dissipation Amplifier II,Metropolis,Jita,1114286,944999.9,169286,15.19233,7,275,2142.119,4.655365E+07
Kinetic Deflection Amplifier I,Metropolis,Jita,29999.73,22030.29,7969.441,26.56504,1,51,690.6911,406441.5
Kinetic Deflection Amplifier I Blueprint,Metropolis,Jita,187420,568710,381290,67.04472,1,4,134.0894,1525160
Kinetic Deflection Amplifier II,Metropolis,Jita,455000,867696.9,412696.9,47.56233,1,163,3900.111,6.726959E+07
Lava Command Center,Metropolis,Jita,307000.1,90672.07,216328,70.46513,6,339,12120,7.333519E+07
Storm Command Center,Metropolis,Jita,78615.38,117070.6,38455.23,32.8479,13,84,1576.699,3230240
Plasma Command Center,Metropolis,Jita,80000,116864.6,36864.57,31.54469,1,88,1387.967,3244082
EM Ward Amplifier II,Metropolis,Jita,1248924,999000,249923.9,20.01114,14,723,7364.099,1.80695E+08
Ladar ECM II,Metropolis,Jita,704800,1399998,695198.4,49.65709,5,439,11023.87,3.051921E+08
Magnetometric ECM II,Metropolis,Jita,10000.05,1395000,1385000,99.28316,6,104,5460.574,1.4404E+08
Multispectral ECM II,Metropolis,Jita,2187496,1839958,347538.3,15.88749,4,212,1715.849,7.367811E+07
Gravimetric ECM II,Metropolis,Jita,605333.3,1078498,473164.7,43.87256,3,115,2588.481,5.441394E+07
Radar ECM II,Metropolis,Jita,1799999,1397999,401999.8,22.33334,1,144,1608,5.788796E+07
Genolution Core Augmentation CA-2,Metropolis,Jita,1.610018E+08,1.738763E+08,1.28745E+07,7.404399,1,37,140.6836,4.763564E+08
Nanofiber Internal Structure I,Metropolis,Jita,1244.72,769.72,475,38.16119,26,692,13699.87,328700
Nanofiber Internal Structure I Blueprint,Metropolis,Jita,16640,412268.3,395628.3,95.96379,1,15,767.7103,5934425
Nanofiber Internal Structure II,Metropolis,Jita,296238.1,273848.1,22390,7.558109,53,3643,13967.38,8.156677E+07
Mjolnir Fury Light Missile,Metropolis,Jita,242.63,100,142.63,58.78498,39500,1847304,5.545787E+07,2.63481E+08
Inferno Fury Cruise Missile,Metropolis,Jita,849.67,508.3,341.37,40.17677,9500,709206,1.443764E+07,2.421016E+08
Scourge Fury Heavy Missile,Metropolis,Jita,675.54,500,175.54,25.98514,40086,4239176,5.55986E+07,7.441448E+08
Inferno Precision Cruise Missile,Metropolis,Jita,471,489.83,18.82999,3.844188,2000,42038,84645.18,791575
Inferno Precision Light Missile,Metropolis,Jita,192.06,102,90.06,46.89159,50000,190464,5637870,1.715319E+07
Nova Precision Heavy Missile,Metropolis,Jita,739.87,274.74,465.13,62.86645,500,36913,1175980,1.716934E+07
Scourge Rage Heavy Assault Missile,Metropolis,Jita,247.62,92.08,155.54,62.81399,2000,6109033,1.919292E+08,9.50199E+08
Warp Disruption Battery Blueprint,Metropolis,Jita,5E+07,5E+07,0,0,1,25,0,0
Territorial Claim Unit Blueprint,Metropolis,Jita,2.5E+08,2.5E+08,0,0,1,1,0,0
Nanite Repair Paste Blueprint,Metropolis,Jita,5E+07,5E+07,0,0,1,5,0,0
Warp Scrambling Battery Blueprint,Metropolis,Jita,5E+07,5E+07,0,0,1,1,0,0
Stasis Webification Battery Blueprint,Metropolis,Jita,5E+07,5E+07,0,0,1,1,0,0
X-Large Ship Maintenance Array Blueprint,Metropolis,Jita,5E+08,1E+08,4E+08,80,1,1,80,4E+08
Ship Maintenance Array Blueprint,Metropolis,Jita,1E+08,1E+08,0,0,1,1,0,0
Sensor Dampening Battery Blueprint,Metropolis,Jita,5E+07,5E+07,0,0,1,1,0,0
Amarr Control Tower Medium Blueprint,Metropolis,Jita,2.5E+08,2.5E+08,0,0,1,1,0,0
Minmatar Control Tower Blueprint,Metropolis,Jita,5E+08,5E+08,0,0,1,2,0,0
Corporate Hangar Array Blueprint,Metropolis,Jita,1E+08,1E+08,0,0,1,1,0,0
Ion Field Projection Battery Blueprint,Metropolis,Jita,5E+07,5E+07,0,0,1,1,0,0
Phase Inversion Battery Blueprint,Metropolis,Jita,5E+07,5E+07,0,0,1,1,0,0
Spatial Destabilization Battery Blueprint,Metropolis,Jita,5E+07,4.5E+07,5000000,10,1,1,10,5000000
White Noise Generation Battery Blueprint,Metropolis,Jita,5E+07,5E+07,0,0,1,1,0,0
Energy Neutralizing Battery Blueprint,Metropolis,Jita,5E+07,5E+07,0,0,1,1,0,0
Nova Javelin Torpedo,Metropolis,Jita,2498.6,944.28,1554.32,62.20764,2500,77900,2500747,1.210815E+08
Large Blaster Battery Blueprint,Metropolis,Jita,7.5E+07,7.5E+07,0,0,1,1,0,0
Large Railgun Battery Blueprint,Metropolis,Jita,7.5E+07,7.5E+07,0,0,1,1,0,0
Large Artillery Battery Blueprint,Metropolis,Jita,1E+08,9E+07,1E+07,10,1,1,10,1E+07
Medium Blaster Battery Blueprint,Metropolis,Jita,5E+07,5E+07,0,0,1,1,0,0
Medium Railgun Battery Blueprint,Metropolis,Jita,5E+07,5E+07,0,0,1,1,0,0
Medium Artillery Battery Blueprint,Metropolis,Jita,5E+07,5E+07,0,0,1,1,0,0
Inferno Rage Torpedo,Metropolis,Jita,3149.89,1199.92,1949.97,61.90597,379,100307,3116532,1.955956E+08
Small Blaster Battery Blueprint,Metropolis,Jita,2.5E+07,2.5E+07,0,0,1,1,0,0
Small Railgun Battery Blueprint,Metropolis,Jita,2.5E+07,2.5E+07,0,0,1,1,0,0
Small Artillery Battery Blueprint,Metropolis,Jita,2.5E+07,2.5E+07,0,0,1,3,0,0
Mjolnir Rage Rocket,Metropolis,Jita,64.74,38.34,26.4,40.7785,34000,632910,1.359779E+07,1.670882E+07
XL Torpedo Battery Blueprint,Metropolis,Jita,1E+08,1E+08,0,0,1,1,0,0
Cruise Missile Battery Blueprint,Metropolis,Jita,5E+07,5E+07,0,0,1,1,0,0
Torpedo Battery Blueprint,Metropolis,Jita,5E+07,4E+07,1E+07,20,1,1,20,1E+07
Small Pulse Laser Battery Blueprint,Metropolis,Jita,2.5E+07,2.5E+07,0,0,1,1,0,0
Medium Pulse Laser Battery Blueprint,Metropolis,Jita,5E+07,5E+07,0,0,1,1,0,0
Medium Beam Laser Battery Blueprint,Metropolis,Jita,5E+07,5E+07,0,0,1,1,0,0
Large Beam Laser Battery Blueprint,Metropolis,Jita,1E+08,1E+08,0,0,2,1,0,0
1000 Aurum Token,Metropolis,Jita,3.5E+08,3.199E+08,3.01E+07,8.6,1,1,8.6,3.01E+07
Primae,Metropolis,Jita,2E+07,8907012,1.109299E+07,55.46494,1,1,55.46494,1.109299E+07
1200mm Artillery Cannon II,Metropolis,Jita,3000000,1989987,1010013,33.6671,4,150,2592.367,1.51502E+08
Broadcast Node,Metropolis,Jita,1760004,2000680,240675.8,12.0297,22,2750,16673.16,6.618583E+08
Integrity Response Drones,Metropolis,Jita,1910000,2397050,487049.9,20.31872,7,3451,35131.07,1.680809E+09
Nano-Factory,Metropolis,Jita,831000.2,1073100,242099.8,22.56079,12,5395,60981.81,1.306129E+09
Organic Mortar Applicators,Metropolis,Jita,1062800,1101001,38200.88,3.46965,39,12543,21827.56,4.791536E+08
Recursive Computing Module,Metropolis,Jita,1890000,1450026,439974.3,23.27906,63,3188,37828.47,1.402638E+09
Self-Harmonizing Power Core,Metropolis,Jita,2195000,1895120,299879.9,13.66195,23,5185,35575.73,1.554877E+09
125mm Gatling AutoCannon II,Metropolis,Jita,518178.6,584991,66812.41,11.4211,11,1294,7446.557,8.645526E+07
Sterile Conduits,Metropolis,Jita,1131000,1200044,69043.75,5.753435,9,6485,18681.4,4.477487E+08
Wetware Mainframe,Metropolis,Jita,2389999,2080050,309949,12.96858,104,9572,62742,2.966832E+09
150mm Light AutoCannon II,Metropolis,Jita,561795.8,478997,82798.75,14.73823,9,485,3640.343,4.015739E+07
200mm AutoCannon II,Metropolis,Jita,650655.9,809170,158514.1,19.58972,61,709,7542.042,1.123865E+08
220mm Vulcan AutoCannon II,Metropolis,Jita,1382802,1391999,9196.375,0.6606597,10,279,95.135,2565789
250mm Light Artillery Cannon II,Metropolis,Jita,697757.7,559499.9,138257.8,19.81458,27,132,1565.352,1.825002E+07
425mm AutoCannon II,Metropolis,Jita,1739972,1464999,274972.8,15.80329,17,562,4567.15,1.545347E+08
650mm Artillery Cannon II,Metropolis,Jita,1699723,1544849,154873.3,9.111678,9,51,273.3503,7898536
800mm Repeating Cannon II,Metropolis,Jita,3099990,3211498,111508,3.472149,7,433,763.8728,4.828296E+07
Dual 180mm AutoCannon II,Metropolis,Jita,1750000,1250000,500000.3,28.57144,4,223,3228.573,1.115001E+08
Dual 425mm AutoCannon II,Metropolis,Jita,3894995,3179489,715506.5,18.3699,6,20,238.8087,1.431013E+07
Dual 650mm Repeating Cannon II,Metropolis,Jita,6899996,4060008,2839988,41.15927,8,135,2922.308,3.833984E+08
1400mm Howitzer Artillery II,Metropolis,Jita,5389997,5088442,301555,5.594716,8,487,1381.895,1.468573E+08
720mm Howitzer Artillery II,Metropolis,Jita,3477765,2099320,1378445,39.63594,3,1143,22711.4,1.575563E+09
280mm Howitzer Artillery II,Metropolis,Jita,617773.4,615300,2473.438,0.4003794,16,1059,215.0037,2619370
Dual Heavy Beam Laser II,Metropolis,Jita,3760999,2024333,1736666,46.17565,2,12,323.2296,2.083999E+07
Dual Light Beam Laser II,Metropolis,Jita,1498999,599997.9,899001.1,59.97343,4,109,3358.512,9.799112E+07
Noctis,Metropolis,Jita,4.04E+07,5.544967E+07,1.504968E+07,27.14115,5,26,407.1172,3.912916E+08
Dual Light Pulse Laser II,Metropolis,Jita,399999,314997.3,85001.69,21.25047,3,184,1976.294,1.564031E+07
Focused Medium Beam Laser II,Metropolis,Jita,6500000,2957789,3542211,54.49555,6,84,2452.3,2.975457E+08
Gatling Pulse Laser II,Metropolis,Jita,1180000,732423.4,447576.1,37.93019,12,72,1593.068,3.222548E+07
Heavy Beam Laser II,Metropolis,Jita,2750000,1598635,1151365,41.86783,2,1070,22441.16,1.231961E+09
Small Focused Beam Laser II,Metropolis,Jita,939942.8,933121,6821.75,0.7257623,10,778,285.9503,5307322
Noctis Blueprint,Metropolis,Jita,5.999E+08,5.171998E+08,8.270016E+07,13.78566,1,1,13.78566,8.270016E+07
Small Focused Pulse Laser II,Metropolis,Jita,899994,648994.9,250999.1,27.88898,3,336,4713.237,8.43357E+07
Mega Beam Laser II,Metropolis,Jita,6999999,4873683,2126317,30.37595,2,70,1093.534,1.488422E+08
Mega Pulse Laser II,Metropolis,Jita,4799000,4192986,606014.3,12.62793,4,251,1603.747,1.521096E+08
Tachyon Beam Laser II,Metropolis,Jita,6799999,4699993,2100006,30.88245,12,124,2100.006,2.604007E+08
150mm Railgun II,Metropolis,Jita,1320000,1132050,187950.6,14.23868,9,656,4727.243,1.232956E+08
Zainou 'Gnome' Shield Management SM-702,Metropolis,Jita,1.2E+07,1.099999E+07,1000014,8.33345,1,12,50.0007,1.200017E+07
Zainou 'Gnome' Shield Management SM-704,Metropolis,Jita,1.37E+08,8.393201E+07,5.306799E+07,38.73576,1,5,116.2073,2.6534E+08
250mm Railgun II,Metropolis,Jita,1892454,2199665,307211.4,13.96628,14,1090,7709.387,3.348604E+08
Zainou 'Gnome' Shield Emission Systems SE-802,Metropolis,Jita,200000,9200001,9000001,97.82609,9,1,489.1304,8.100001E+07
Zainou 'Gnome' Shield Operation SP-902,Metropolis,Jita,1.2008E+07,1.0725E+07,1283000,10.68454,1,1,10.68454,1283000
Zainou 'Gnome' Shield Operation SP-904,Metropolis,Jita,1.42E+08,8.67768E+07,5.52232E+07,38.88958,1,8,155.5583,4.417856E+08
425mm Railgun II,Metropolis,Jita,4699990,4183026,516963.8,10.99925,8,78,472.9678,4.032317E+07
Eifyr and Co. 'Rogue' Evasive Maneuvering EM-702,Metropolis,Jita,1.1E+07,9500000,1500000,13.63636,1,2,13.63636,3000000
Eifyr and Co. 'Rogue' Evasive Maneuvering EM-704,Metropolis,Jita,1.44E+08,1.400833E+08,3916672,2.719911,1,3,5.439822,1.175002E+07
Eifyr and Co. 'Rogue' Evasive Maneuvering EM-706,Metropolis,Jita,1.1E+09,5.810001E+08,5.189999E+08,47.1818,1,4,94.36361,2.075999E+09
Eifyr and Co. 'Rogue' Navigation NN-602,Metropolis,Jita,1.2E+07,1.1E+07,1000002,8.33335,1,11,50.0001,1.100002E+07
75mm Gatling Rail II,Metropolis,Jita,492980,349993.9,142986.1,29.00444,4,131,1943.297,1.873118E+07
Dual 150mm Railgun II,Metropolis,Jita,1839989,1366765,473223.9,25.71884,6,57,797.2841,2.697376E+07
Eifyr and Co. 'Rogue' High Speed Maneuvering HS-902,Metropolis,Jita,1.2E+07,5900000,6100000,50.83333,1,1,50.83333,6100000
Dual 250mm Railgun II,Metropolis,Jita,3499998,2000004,1499994,42.85701,7,2,171.428,1.049996E+07
Eifyr and Co. 'Rogue' Warp Drive Speed WS-608,Metropolis,Jita,1.2E+07,1.29E+07,899998,6.97673,1,24,83.72076,2.159995E+07
Eifyr and Co. 'Rogue' Warp Drive Speed WS-613,Metropolis,Jita,1.2E+08,7.500175E+07,4.499825E+07,37.49854,1,4,74.99708,1.79993E+08
Eifyr and Co. 'Rogue' Warp Drive Speed WS-618,Metropolis,Jita,7.5E+08,5.65E+08,1.85E+08,24.66667,1,6,74,1.11E+09
Eifyr and Co. 'Rogue' Acceleration Control AC-602,Metropolis,Jita,1.04E+07,1.25E+07,2100000,16.8,1,1,16.8,2100000
Electron Blaster Cannon II,Metropolis,Jita,1000000,2052785,1052785,51.2857,3,47,1282.143,4.948091E+07
Zainou 'Deadeye' Guided Missile Precision GP-802,Metropolis,Jita,1.2E+07,6028686,5971315,49.76096,1,7,199.0438,4.17992E+07
Zainou 'Deadeye' Guided Missile Precision GP-804,Metropolis,Jita,1.4E+08,1.0645E+08,3.355E+07,23.96428,1,2,23.96428,6.71E+07
Zainou 'Deadeye' Missile Bombardment MB-702,Metropolis,Jita,1.2E+07,9976598,2023402,16.86168,1,2,16.86168,4046804
Heavy Electron Blaster II,Metropolis,Jita,1788000,1326997,461003,25.78316,3,403,5233.982,1.857842E+08
Zainou 'Deadeye' Missile Projection MP-702,Metropolis,Jita,1.2E+07,6857333,5142668,42.85556,3,12,299.989,6.171201E+07
Zainou 'Deadeye' Rapid Launch RL-1002,Metropolis,Jita,1.2E+07,7114524,4885476,40.7123,1,21,447.8353,1.02595E+08
Zainou 'Deadeye' Rapid Launch RL-1004,Metropolis,Jita,1.4E+08,1.239E+08,1.61E+07,11.5,1,1,11.5,1.61E+07
Heavy Ion Blaster II,Metropolis,Jita,1665962,1612373,53589.13,3.216708,5,154,254.1199,8252725
Zainou 'Deadeye' Rapid Launch RL-1006,Metropolis,Jita,1.001001E+09,7.563333E+08,2.446677E+08,24.4423,1,3,48.88461,7.340031E+08
Zainou 'Deadeye' Target Navigation Prediction TN-902,Metropolis,Jita,1.2E+07,1.245E+07,449999,3.61445,2,2,7.2289,899998
Zainou 'Deadeye' Target Navigation Prediction TN-904,Metropolis,Jita,1.42E+08,1.2E+08,2.200001E+07,15.49296,1,1,15.49296,2.200001E+07
Zainou 'Deadeye' Target Navigation Prediction TN-906,Metropolis,Jita,1.1E+09,6.9E+08,4.1E+08,37.27273,1,2,37.27273,8.2E+08
Heavy Neutron Blaster II,Metropolis,Jita,2104999,1721999,383000.3,18.1948,8,396,3675.349,1.516681E+08
Hardwiring - Zainou 'Sharpshooter' ZMX11,Metropolis,Jita,2.88E+07,6999998,2.18E+07,75.69445,1,1,75.69445,2.18E+07
Hardwiring - Zainou 'Sharpshooter' ZMX110,Metropolis,Jita,3.39E+08,1.72E+08,1.67E+08,49.26254,1,1,49.26254,1.67E+08
Ion Blaster Cannon II,Metropolis,Jita,4199995,3065828,1134167,27.004,7,46,702.1041,5.217167E+07
Light Electron Blaster II,Metropolis,Jita,711110,499980,211130,29.6902,2,125,1870.483,2.639125E+07
Zainou 'Snapshot' Heavy Missiles HM-702,Metropolis,Jita,1.2E+07,1.199996E+07,43,0.0003583333,1,1,0.0003583333,43
Zainou 'Snapshot' Light Missiles LM-902,Metropolis,Jita,1.29E+07,9998984,2901016,22.4885,1,5,67.46549,1.450508E+07
Light Ion Blaster II,Metropolis,Jita,751550.6,650000,101550.6,13.51215,22,2116,14444.49,2.148811E+08
Zainou 'Snapshot' Torpedoes TD-602,Metropolis,Jita,1.1E+07,1.248689E+07,1486891,11.90762,1,6,35.72285,8921346
Light Neutron Blaster II,Metropolis,Jita,839988.8,899499.8,59511.06,6.616017,303,1672,6530.009,9.95025E+07
ORE Industrial,Metropolis,Jita,2500000,2474646,25353.75,1.01415,1,23,12.1698,583136.3
Eifyr and Co. 'Gunslinger' Medium Projectile Turret MP-802,Metropolis,Jita,1.2E+07,1.12449E+07,755100,6.2925,1,1,6.2925,755100
Neutron Blaster Cannon II,Metropolis,Jita,5499953,4347900,1152053,20.9466,13,724,7708.348,8.340864E+08
Eifyr and Co. 'Gunslinger' Medium Projectile Turret MP-804,Metropolis,Jita,5E+07,1.2E+08,7E+07,58.33333,1,1,58.33333,7E+07
Eifyr and Co. 'Gunslinger' Motion Prediction MR-702,Metropolis,Jita,1E+07,6800000,3200000,32,1,4,64,1.28E+07
Eifyr and Co. 'Gunslinger' Motion Prediction MR-706,Metropolis,Jita,1.2E+09,8.19E+08,3.81E+08,31.75,1,1,31.75,3.81E+08
Eifyr and Co. 'Gunslinger' Surgical Strike SS-902,Metropolis,Jita,1.16E+07,7068738,4531263,39.06261,1,8,156.2504,3.62501E+07
Eifyr and Co. 'Gunslinger' Surgical Strike SS-904,Metropolis,Jita,1.5E+08,1.10999E+08,3.9001E+07,26.00067,1,2,26.00067,7.8002E+07
Eifyr and Co. 'Gunslinger' Surgical Strike SS-906,Metropolis,Jita,1.1E+09,6.1E+08,4.9E+08,44.54546,1,2,44.54546,9.8E+08
Eifyr and Co. 'Gunslinger' Large Projectile Turret LP-1002,Metropolis,Jita,1.1E+07,4979990,6020010,54.72736,1,1,54.72736,6020010
Eifyr and Co. 'Gunslinger' Large Projectile Turret LP-1004,Metropolis,Jita,5E+07,1.209887E+08,7.098866E+07,58.67381,1,1,58.67381,7.098866E+07
Inherent Implants 'Lancer' Controlled Bursts CB-702,Metropolis,Jita,1E+07,7000000,3000000,30,1,3,60,9000000
Inherent Implants 'Lancer' Gunnery RF-902,Metropolis,Jita,1.2E+07,8498996,3501003,29.17503,1,4,58.35006,1.400401E+07
Inherent Implants 'Lancer' Medium Energy Turret ME-802,Metropolis,Jita,6200000,1499000,4701000,75.82258,2,1,75.82258,9402000
Zainou 'Deadeye' Sharpshooter ST-902,Metropolis,Jita,1.15E+07,6400000,5099999,44.34782,1,2,44.34782,1.02E+07
Harvester Mining Drone,Metropolis,Jita,4.5E+08,4.892896E+08,3.928963E+07,8.029934,2,23,96.35921,9.036616E+08
Zainou 'Deadeye' Large Hybrid Turret LH-1002,Metropolis,Jita,1E+07,1.2E+07,1999997,16.66665,3,1,33.33329,5999991
Zainou 'Deadeye' Small Hybrid Turret SH-604,Metropolis,Jita,3.5E+07,1.69E+08,1.34E+08,79.28994,1,1,79.28994,1.34E+08
Zainou 'Gnome' Weapon Upgrades WU-1002,Metropolis,Jita,1.2E+07,7999848,4000152,33.3346,2,1,33.3346,8000304
Zainou 'Gnome' Weapon Upgrades WU-1004,Metropolis,Jita,5E+07,1.5E+08,1E+08,66.66666,1,1,66.66666,1E+08
Zainou 'Deadeye' Medium Hybrid Turret MH-804,Metropolis,Jita,5E+07,1.5E+08,1E+08,66.66666,1,1,66.66666,1E+08
Zainou 'Deadeye' Trajectory Analysis TA-702,Metropolis,Jita,1E+07,8500000,1500000,15,1,1,15,1500000
Inherent Implants 'Squire' Capacitor Management EM-802,Metropolis,Jita,1.3E+07,8768698,4231302,32.54848,1,17,292.9363,7.193214E+07
Inherent Implants 'Squire' Capacitor Management EM-804,Metropolis,Jita,1.42E+08,1.175E+08,2.45E+07,17.25352,1,2,17.25352,4.9E+07
Inherent Implants 'Squire' Capacitor Management EM-806,Metropolis,Jita,6.9999E+08,6.149971E+08,8.499296E+07,12.14202,1,4,24.28405,3.399718E+08
Inherent Implants 'Squire' Capacitor Systems Operation EO-602,Metropolis,Jita,8900000,6999999,1900001,21.34833,1,16,170.7866,3.040002E+07
Inherent Implants 'Squire' Capacitor Systems Operation EO-604,Metropolis,Jita,1.42E+08,1.095E+08,3.25E+07,22.88732,1,1,22.88732,3.25E+07
Warp Disruptor I,Metropolis,Jita,35079.44,39150,4070.559,10.39734,7,480,2526.553,1953868
Warp Disruptor I Blueprint,Metropolis,Jita,394240,394240,0,0,1,11,0,0
Warp Disruptor II,Metropolis,Jita,1475496,1332994,142502.3,9.657923,22,1613,7890.523,2.298561E+08
Inherent Implants 'Squire' Capacitor Systems Operation EO-606,Metropolis,Jita,8.1E+08,6.5E+08,1.6E+08,19.75309,1,1,19.75309,1.6E+08
Inherent Implants 'Squire' Capacitor Emission Systems ES-704,Metropolis,Jita,5E+07,1.4E+08,9E+07,64.28571,1,1,64.28571,9E+07
Inherent Implants 'Squire' Energy Grid Upgrades EU-702,Metropolis,Jita,1.2E+07,1.379E+07,1789999,12.98041,1,2,12.98041,3579998
Inherent Implants 'Squire' Power Grid Management EG-602,Metropolis,Jita,9617196,7749981,1867215,19.41538,5,308,3028.799,5.751022E+08
Inherent Implants 'Squire' Power Grid Management EG-604,Metropolis,Jita,1.39E+08,8.59267E+07,5.30733E+07,38.18223,1,16,305.4579,8.491729E+08
Inherent Implants 'Squire' Power Grid Management EG-606,Metropolis,Jita,1.2E+09,6.499993E+08,5.500007E+08,45.83339,1,1,45.83339,5.500007E+08
